STATIONS_ID;MESS_DATUM;QN_6;  RS; RSF;SH_TAG;NSH_TAG;eor
       1046;20200723;    9;   0.0;   0;-999;-999;eor
       1046;20200724;    9;   0.0;   0;-999;-999;eor
       1046;20200725;    9;  15.3;   4;-999;-999;eor
       1046;20200726;    9;   0.5;   4;-999;-999;eor
       1046;20200727;    9;   0.5;   4;-999;-999;eor
       1046;20200728;    9;   0.0;   4;-999;-999;eor
       1046;20200729;    9;   0.0;   0;-999;-999;eor
       1046;20200730;    9;   0.0;   0;-999;-999;eor
       1046;20200731;    9;   0.0;   0;-999;-999;eor
       1046;20200801;    3;   6.7;   4;-999;-999;eor
       1046;20200802;    3;   0.0;   0;-999;-999;eor
       1046;20200803;    3;   0.0;   0;-999;-999;eor
       1046;20200804;    3;   0.0;   0;-999;-999;eor
       1046;20200805;    3;   0.0;   0;-999;-999;eor
       1046;20200806;    3;   0.4;   4;-999;-999;eor
       1046;20200807;    3;   0.0;   0;-999;-999;eor
       1046;20200808;    3;   0.0;   0;-999;-999;eor
       1046;20200809;    3;   9.3;   4;-999;-999;eor
       1046;20200810;    3;   0.0;   0;-999;-999;eor
       1046;20200811;    3;   0.0;   0;-999;-999;eor
       1046;20200812;    3;   0.0;   0;-999;-999;eor
       1046;20200813;    3;   0.9;   4;-999;-999;eor
       1046;20200814;    3;  56.5;   4;-999;-999;eor
       1046;20200815;    3;   0.0;   0;-999;-999;eor
       1046;20200816;    3;   1.7;   4;-999;-999;eor
       1046;20200817;    3;   1.2;   4;-999;-999;eor
       1046;20200818;    3;   3.5;   4;-999;-999;eor
       1046;20200819;    3;   0.0;   4;-999;-999;eor
       1046;20200820;    3;   0.7;   4;-999;-999;eor
       1046;20200821;    3;   3.3;   4;-999;-999;eor
       1046;20200822;    3;   0.1;   4;-999;-999;eor
       1046;20200823;    3;   0.7;   4;-999;-999;eor
       1046;20200824;    3;   1.5;   4;-999;-999;eor
       1046;20200825;    3;   2.5;   4;-999;-999;eor
